,0
533,1
534,1
535,0
536,0
537,0
538,0
539,1
540,1
541,1
542,1
543,0
544,1
545,1
546,0
547,0
548,0
549,1
550,0
551,1
552,1
553,0
554,1
555,1
556,0
557,1
558,0
559,0
560,0
561,0
562,0
563,0
564,0
565,0
566,0
567,0
568,0
569,0
570,0
571,0
572,1
573,0
574,0
575,0
576,0
577,0
578,0
579,1
580,0
581,1
582,0
583,0
584,1
585,0
586,1
587,0
588,0
589,1
590,0
591,1
592,1
593,0
594,0
595,1
596,0
597,0
598,0
599,0
600,0
601,1
602,1
603,0
604,0
605,1
606,1
607,1
608,1
609,0
610,0
611,0
612,1
613,0
614,0
615,1
616,1
617,0
618,1
619,1
620,0
621,0
622,0
623,0
624,1
625,1
626,1
627,1
628,0
629,1
630,1
631,0
632,0
633,0
634,0
635,0
636,1
637,0
638,0
639,1
640,0
641,0
642,1
643,0
644,1
645,1
646,0
647,1
648,0
649,1
650,0
651,0
652,1
653,0
654,1
655,1
656,0
657,0
658,0
659,0
660,1
661,1
662,1
663,1
664,0
665,1
666,1
667,0
668,0
669,0
670,1
671,0
672,0
673,1
674,0
675,1
676,0
677,1
678,0
679,0
680,0
681,0
682,1
683,0
684,0
685,1
686,0
687,0
688,0
689,0
690,0
691,0
692,0
693,0
694,0
695,0
696,1
697,0
698,0
699,0
700,1
701,1
702,1
703,0
704,0
705,0
706,0
707,1
708,1
709,1
710,0
711,0
712,0
713,1
714,1
715,1
716,0
717,0
718,0
719,0
720,1
721,0
722,0
723,0
724,0
725,0
726,1
727,0
728,1
729,1
730,0
731,0
732,1
733,1
734,0
735,0
736,0
737,0
738,1
739,1
740,1
741,1
742,0
743,0
744,0
745,0
746,0
747,1
748,1
749,1
750,1
751,0
752,1
753,0
754,1
755,0
756,0
757,1
758,1
759,0
760,0
761,0
762,0
763,1
764,1
765,0
766,1
767,1
768,0
769,0
770,1
771,1
772,1
773,1
774,1
775,1
776,0
777,1
778,0
779,1
780,1
781,0
782,0
783,0
784,0
785,0
786,1
787,0
788,1
789,0
790,1
791,0
792,0
793,1
794,0
795,1
796,1
797,0
798,0
799,0
800,1
801,1
802,0
803,1
804,0
805,1
806,0
807,0
808,1
809,1
810,0
811,0
812,0
813,1
814,1
815,1
816,1
817,1
818,0
819,0
820,1
821,0
822,1
823,1
824,0
825,0
826,0
827,1
828,0
829,1
830,1
831,1
832,1
833,0
834,0
835,1
836,0
837,1
838,0
839,1
840,1
841,0
842,0
843,1
844,0
845,0
846,0
847,1
848,1
849,0
850,0
851,1
852,1
853,1
854,1
855,1
856,1
857,1
858,0
859,0
860,0
861,1
862,1
863,1
864,1
865,0
866,1
867,0
868,0
869,0
870,0
871,1
872,1
873,1
874,0
875,1
876,0
877,0
878,0
879,0
880,1
881,1
882,0
883,0
884,0
885,0
886,0
887,0
888,0
889,0
890,1
891,1
892,0
893,0
894,0
895,0
896,0
897,0
898,0
899,1
900,0
901,1
902,0
903,0
904,0
905,0
906,1
907,0
908,0
909,0
910,0
911,0
912,0
913,0
914,0
915,0
916,1
917,0
918,1
919,0
920,0
921,1
922,1
923,0
924,1
925,0
926,1
927,1
928,0
929,1
930,0
931,0
932,1
933,0
934,1
935,0
936,0
937,0
938,1
939,0
940,0
941,0
942,1
943,0
944,0
945,1
946,0
947,0
948,0
949,1
950,0
951,0
952,0
953,0
954,0
955,1
956,1
957,0
958,0
959,0
960,0
961,0
962,0
963,0
964,0
965,1
966,1
967,0
968,0
969,1
970,1
971,1
972,1
973,1
974,0
975,1
976,0
977,0
978,0
979,0
980,0
981,0
982,0
983,0
984,0
985,1
986,0
987,1
988,0
989,1
990,1
991,1
992,0
993,0
994,0
995,1
996,0
997,0
998,0
999,0
1000,1
1001,0
1002,0
1003,1
1004,0
1005,1
1006,0
1007,0
1008,1
1009,1
1010,1
1011,1
1012,1
1013,0
1014,0
1015,1
1016,0
1017,1
1018,0
1019,0
1020,1
1021,0
1022,1
1023,1
1024,0
1025,0
1026,1
1027,0
1028,0
1029,1
1030,0
1031,0
1032,0
1033,0
1034,0
1035,1
1036,0
